,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year,Unit,Value,Flag,Flag Description,Note
80,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1966,1000 No,38388.21,X,Figure from international organizations,nan
81,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1966,1000 No,18867.872,X,Figure from international organizations,nan
82,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1966,1000 No,19520.339,X,Figure from international organizations,nan
83,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1966,1000 No,32420.527,X,Figure from international organizations,nan
84,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1966,1000 No,6538.807,X,Figure from international organizations,nan
85,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1967,1000 No,39282.564,X,Figure from international organizations,nan
86,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1967,1000 No,19298.765,X,Figure from international organizations,nan
87,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1967,1000 No,19983.799,X,Figure from international organizations,nan
88,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1967,1000 No,33200.649,X,Figure from international organizations,nan
89,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1967,1000 No,6874.05,X,Figure from international organizations,nan
90,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1968,1000 No,40145.287,X,Figure from international organizations,nan
91,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1968,1000 No,19705.563,X,Figure from international organizations,nan
92,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1968,1000 No,20439.724,X,Figure from international organizations,nan
93,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1968,1000 No,33974.431,X,Figure from international organizations,nan
94,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1968,1000 No,7221.404,X,Figure from international organizations,nan
