,ma_huyen,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
087-2019,087,2019,85092,,,21531,
088-2019,088,2019,65132,,,16213,
089-2019,089,2019,88615,,,22627,
094-2019,094,2019,56979,,,14304,
095-2019,095,2019,11162,,,2754,
096-2019,096,2019,45375,,,10621,
097-2019,097,2019,47690,,,11335,
098-2019,098,2019,57147,,,13552,
099-2019,099,2019,87544,,,22589,
100-2019,100,2019,119251,,,30811,
101-2019,101,2019,66738,,,16680,
102-2019,102,2019,48087,,,12417,
103-2019,103,2019,54803,,,12932,
105-2019,105,2019,40998,,,10778,
106-2019,106,2019,55797,,,13991,
107-2019,107,2019,45464,,,11039,
108-2019,108,2019,83401,,,20453,
109-2019,109,2019,79398,,,19559,
110-2019,110,2019,67309,,,17602,
111-2019,111,2019,57863,,,14412,
112-2019,112,2019,26971,,,6223,
116-2019,116,2019,103756,,,27115,
118-2019,118,2019,63734,,,16578,
119-2019,119,2019,172362,,,44660,
120-2019,120,2019,98887,,,24709,
121-2019,121,2019,66380,,,16913,
122-2019,122,2019,114665,,,27545,
123-2019,123,2019,114113,,,28563,
124-2019,124,2019,79026,,,20084,
125-2019,125,2019,162000,,,41478,
126-2019,126,2019,153732,,,39296,
127-2019,127,2019,49911,,,12768,
128-2019,128,2019,61829,,,15784,
132-2019,132,2019,99451,,,23299,
133-2019,133,2019,31100,,,7783,
135-2019,135,2019,108550,,,27105,
136-2019,136,2019,129404,,,32154,
137-2019,137,2019,63541,,,15358,
138-2019,138,2019,84409,,,20630,
139-2019,139,2019,33688,,,7977,
140-2019,140,2019,155117,,,38394,
141-2019,141,2019,111414,,,26924,
148-2019,148,2019,99663,,,24156,
150-2019,150,2019,54539,,,13541,
152-2019,152,2019,99251,,,24909,
153-2019,153,2019,118507,,,29567,
154-2019,154,2019,45275,,,11322,
155-2019,155,2019,86612,,,21513,
156-2019,156,2019,55159,,,13549,
157-2019,157,2019,136254,,,32070,
158-2019,158,2019,59932,,,14057,
159-2019,159,2019,60057,,,14294,
164-2019,164,2019,326223,,,85975,
165-2019,165,2019,69367,,,17474,
167-2019,167,2019,89032,,,20254,
168-2019,168,2019,102020,,,25269,
169-2019,169,2019,92153,,,23127,
170-2019,170,2019,67803,,,16407,
171-2019,171,2019,171397,,,42026,
172-2019,172,2019,178461,,,48219,
173-2019,173,2019,156668,,,39670,
178-2019,178,2019,101699,,,25874,
180-2019,180,2019,59520,,,13972,
181-2019,181,2019,52346,,,12005,
182-2019,182,2019,49448,,,11944,
183-2019,183,2019,79291,,,20088,
184-2019,184,2019,53958,,,12431,
185-2019,185,2019,71685,,,18260,
186-2019,186,2019,120816,,,28031,
187-2019,187,2019,74844,,,16741,
188-2019,188,2019,84100,,,20917,
189-2019,189,2019,28358,,,6898,
193-2019,193,2019,267886,,,66962,
194-2019,194,2019,107787,,,28376,
195-2019,195,2019,187286,,,45030,
196-2019,196,2019,118423,,,29213,
198-2019,198,2019,31500,,,7765,
199-2019,199,2019,50287,,,12203,
200-2019,200,2019,41186,,,10473,
201-2019,201,2019,61359,,,15337,
202-2019,202,2019,21879,,,5376,
203-2019,203,2019,46489,,,11409,
205-2019,205,2019,171190,,,40945,
206-2019,206,2019,145540,,,34718,
207-2019,207,2019,6222,,,1681,
213-2019,213,2019,173102,,,42737,
215-2019,215,2019,100907,,,24560,
216-2019,216,2019,176915,,,42571,
217-2019,217,2019,216882,,,53025,
218-2019,218,2019,225941,,,57920,
219-2019,219,2019,226109,,,57822,
220-2019,220,2019,75528,,,18165,
221-2019,221,2019,152089,,,37640,
222-2019,222,2019,203109,,,54111,
223-2019,223,2019,247427,,,59703,
227-2019,227,2019,212192,,,51325,
228-2019,228,2019,69915,,,16553,
230-2019,230,2019,114662,,,27334,
231-2019,231,2019,104984,,,23461,
232-2019,232,2019,115349,,,26673,
233-2019,233,2019,111003,,,26018,
234-2019,234,2019,92547,,,22761,
235-2019,235,2019,139390,,,32354,
236-2019,236,2019,87925,,,20447,
237-2019,237,2019,107843,,,24931,
238-2019,238,2019,132779,,,32298,
239-2019,239,2019,84588,,,20028,
240-2019,240,2019,85469,,,21158,
243-2019,243,2019,118080,,,30740,
244-2019,244,2019,102199,,,26438,
246-2019,246,2019,135784,,,32067,
247-2019,247,2019,114369,,,27694,
248-2019,248,2019,83370,,,21166,
249-2019,249,2019,130838,,,32914,
250-2019,250,2019,240477,,,62673,
251-2019,251,2019,156426,,,35926,
252-2019,252,2019,205265,,,47665,
253-2019,253,2019,98679,,,22835,
256-2019,256,2019,244084,,,73353,
258-2019,258,2019,184453,,,55919,
259-2019,259,2019,195118,,,56808,
260-2019,260,2019,175285,,,48599,
261-2019,261,2019,175767,,,45317,
262-2019,262,2019,171633,,,42082,
263-2019,263,2019,103443,,,23841,
264-2019,264,2019,104410,,,24144,
268-2019,268,2019,394952,,,105081,
269-2019,269,2019,144009,,,34178,
271-2019,271,2019,287640,,,67469,
272-2019,272,2019,182905,,,43434,
273-2019,273,2019,174103,,,43280,
274-2019,274,2019,262533,,,66898,
275-2019,275,2019,194112,,,47808,
