,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
117,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,2000,ha,4300,E,Estimated value,
118,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,2000,100 g/ha,7442,E,Estimated value,
119,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,2000,t,3200,E,Estimated value,
120,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,2001,ha,4275,I,Imputed value,
121,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,2001,100 g/ha,7430,E,Estimated value,
122,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,2001,t,3176.35,I,Imputed value,
123,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,2002,ha,4383,I,Imputed value,
124,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,2002,100 g/ha,7403,E,Estimated value,
125,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,2002,t,3244.44,I,Imputed value,
126,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,2003,ha,4400,E,Estimated value,
127,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,2003,100 g/ha,7500,E,Estimated value,
128,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,2003,t,3300,E,Estimated value,
129,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,2004,ha,4643,I,Imputed value,
130,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,2004,100 g/ha,7315,E,Estimated value,
131,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,2004,t,3396.46,I,Imputed value,
132,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,2005,ha,4796,I,Imputed value,
133,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,2005,100 g/ha,7243,E,Estimated value,
134,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,2005,t,3473.41,I,Imputed value,
135,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2006,ha,5049,I,Imputed value,
136,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2006,100 g/ha,7121,E,Estimated value,
137,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2006,t,3595.58,I,Imputed value,
138,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,ha,5249,I,Imputed value,
139,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,100 g/ha,7025,E,Estimated value,
140,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,t,3687.11,I,Imputed value,
141,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2008,ha,5445,I,Imputed value,
142,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2008,100 g/ha,6932,E,Estimated value,
143,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2008,t,3774.38,I,Imputed value,
144,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2009,ha,5644,I,Imputed value,
145,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2009,100 g/ha,6839,E,Estimated value,
146,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2009,t,3859.82,I,Imputed value,
147,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,ha,5843,I,Imputed value,
148,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,100 g/ha,6751,E,Estimated value,
149,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,t,3944.15,I,Imputed value,
150,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,ha,6040,I,Imputed value,
151,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,100 g/ha,6669,E,Estimated value,
