,ma_xa,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
14014-2019,14014,2019,10256,,,2007,
14017-2019,14017,2019,10294,,,2195,
14020-2019,14020,2019,4996,,,972,
14023-2019,14023,2019,9334,,,2130,
14026-2019,14026,2019,11211,,,2534,
14029-2019,14029,2019,14287,,,3119,
14032-2019,14032,2019,4594,,,991,
14035-2019,14035,2019,14665,,,3350,
14038-2019,14038,2019,11103,,,2552,
14041-2019,14041,2019,5480,,,1206,
14044-2019,14044,2019,10491,,,2309,
14047-2019,14047,2019,6997,,,1427,
14050-2019,14050,2019,4426,,,857,
14053-2019,14053,2019,4642,,,1010,
14056-2019,14056,2019,13433,,,2981,
14059-2019,14059,2019,5020,,,1072,
14062-2019,14062,2019,4128,,,881,
14065-2019,14065,2019,6945,,,1597,
14068-2019,14068,2019,4289,,,889,
14071-2019,14071,2019,11692,,,2534,
14074-2019,14074,2019,7623,,,1631,
14077-2019,14077,2019,7912,,,1749,
14080-2019,14080,2019,7051,,,1550,
